Day,Categories,Length,Category rewritten,score
1,Map clearly made with Microsoft Paint,37,,37
2,In a hurry,10,,33
3,My Cartography Teacher Had A Checklist And This Map Ticks Them All,66,,32
4,Source : trust me bro,21,,32
5,"Egregious and unforgivable omissions: New Zealand, Aleutian Islands, UP Michigan, Scandinavia",93,,31
6,"Worst sarcastic map (e.g. electricity in the Roman Empire, population per capita) ",82,,29
7,Bad point symbols,17,,29
8,Rainbow is the new black,24,,29
9,Worst 3D Map,12,,29
10,Worst colors,12,,29
11,Horrible use of choropleth,26,,28
12,Worst title,11,,28
13,Colorblind,10,,27
14,Worst Valentines Day Map ? 💔,28,,26
15,Chuck Norris says : you do not need to know geography to be a cartographer,74,,26
16,NSFW,4,NSFW (Not safe for work),26
17,Not enough/Too much Text,24,,26
18,Worst make a country look like its flag classification map,58,,26
19,,0,,
20,that really should have been like 3 different maps,50,,25
21,Irrelevant variables,20,,25
22,Worst hand-drawn map,20,,25
23,Could have been a bar chart,27,,24
24,"Worst font (this is easy, everybody just gets to use papyrus 🤪)",63,,23
25,Shocking correlations,21,,22
26,The map with the highest number of hardly detectable errors,59,,22
27,Worst Map for hiking,20,,22
28,Worst decorations,17,,22
29,Contrast,8,,21
,Worst abuse of digital elevation applied to an antique map,,,21
,Worst data,,,21
,Worst use of rasters as polygon fill patterns.,,,21
,Drop shadow connoisseur,,,20
,Im a Scientist,,,20
,JeT ScaLe CAn MeLT eYE bALLs,,,20
,Poor raster rendering,,,20
,Really NSFW,,,20
,Worst animation,,,20
,Cartography is my passion,,,19
,You really shouldve normalized that,,,18
,"...Ooooh, you wanted to map the OTHER variable..?",,,18
,Worst city map,,,18
,Most boring map,,,17
,Worst accidental(?) annexation of part of another territory,,,17
,Worst flow map,,,17
,Worst topographic map,,,17
,Worst way to leave New Zealand off a map,,,17
,"A map clearly made with ArcGIS©℗®™, QGIS©℗®™ or MapInfo©℗®™",,,16
,Bees,,,16
,Chloropleth,,,16
,Historic Map With Terrain Blender Render Bender,,,16
,Label every address of every parcel (for my fellow local gov workers),,,16
,Maybe Worst location map/area of study,,,16
,Most cluttered map,,,16
,Population per capita 🤩,,,16
,Transparency solves everything,,,16
,Worst classification scheme,,,16
,Worst projection,,,16
,Worst buffer?,,,15
,Worst thematic map,,,15
,Worst airline route map,,,14
,Worst Twitter emoji map!!!,,,13
,Worst elevation map,,,13
,Worst symbols,,,13
,Worst understandability,,,13
,Worst resolution,,,12
,Worst spelling errors! Worst kerning errors],,,12
,"World is distorted, not my projection",,,11
,Worst this non-island country looks like an island map,,,11
,Worst labels,,,11
,Worst marine map,,,11
,Worst scale,,,11
,Worst statistical map,,,11
,Superficial intelligence Map,,,10
,"Worst Google Maps, etc. error (e.g. non-existent roads that people try to drive down with their GPS).",,,10
,Worst readibility,,,10
,Worst tube(r) map? 🥔⭕️,,,10
,Worst relief map,,,9
,Worst scale bar,,,9
,Worst software,,,9
,Worst extrusion,,,8
,Worst intention,,,8
,Mapillarious experience,,,7
,"My monitor was inverted, I swear",,,7
,Worst dynamic map,,,7
,#nothingMap (See #thingsMap](https://twitter.com/search?q=%23thingsmap&src=typed_query)),,,6
,Worst inventivity,,,6
,Worst legend,,,5
,Doritos Map of the US,,,4
,Worst (to long/to many) Copyright Informations,,,4
,Teal,,,3
,Worst material and tangibility,,,3
,Worst message,,,3
,Worst storymap (a bit off topic),,,3
,Worst interactivity,,,2
,Might contain nuts,,,1
,Worst neat line,,,1
,A hurricane track prediction map amended in sharpie (Donal Trump inspiration : https://twitter.com/marinemaps/status/1574849272121593868),,,-1
,Worst alternative to Google Maps and OpenStreetMap,,,-1
