,score
Cartography is my passion,19
You really shouldve normalized that,18
that really should have been like 3 different maps,25
#nothingMap (See #thingsMap](https://twitter.com/search?q=%23thingsmap&src=typed_query)),6
"...Ooooh, you wanted to map the OTHER variable..?",18
A hurricane track prediction map amended in sharpie (Donal Trump inspiration : https://twitter.com/marinemaps/status/1574849272121593868),-1
"A map clearly made with ArcGIS©℗®™, QGIS©℗®™ or MapInfo©℗®™",16
Bad point symbols,29
Bees,16
Chloropleth,16
Chuck Norris says : you do not need to know geography to be a cartographer,26
Colorblind,27
Contrast,21
Could have been a bar chart,24
Doritos Map of the US,4
Drop shadow connoisseur,20
"Egregious and unforgivable omissions: New Zealand, Aleutian Islands, UP Michigan, Scandinavia,  etc.",31
Historic Map With Terrain Blender Render Bender,16
Horrible use of choropleth,28
Im a Scientist,20
In a hurry,33
Irrelevant variables,25
JeT ScaLe CAn MeLT eYE bALLs,20
Label every address of every parcel (for my fellow local gov workers),16
Map clearly made with Microsoft Paint,37
Mapillarious experience,7
Maybe Worst location map/area of study,16
Might contain nuts,1
Most boring map,17
Most cluttered map,16
My Cartography Teacher Had A Checklist And This Map Ticks Them All,32
"My monitor was inverted, I swear",7
NSFW,26
Not colorblind safe,27
Not enough/Too much Text,26
Poor raster rendering,20
Population per capita 🤩,16
Rainbow is the new black,29
Really NSFW,20
Shocking correlations,22
Source : trust me bro,32
Superficial intelligence Map,10
Teal,3
The map with the highest number of hardly detectable errors (e.g. slight misplacements),22
Transparency solves everything,16
"World is distorted, not my projection",11
Worst make a country look like its flag classification map,26
Worst sarcastic map (e.g. electricity in the Roman Empire; population per capita),29
Worst this non-island country looks like an island map,11
Worst (to long/to many) Copyright Informations,4
Worst 3D Map,29
"Worst Google Maps, etc. error (e.g. non-existent roads that people try to drive down with their GPS).",10
Worst Map for hiking,22
Worst Twitter emoji map!!!,13
Worst Valentines Day Map ? 💔,26
Worst abuse of digital elevation applied to an antique map,21
Worst accidental(?) annexation of part of another territory,17
Worst airline route map,14
Worst alternative to Google Maps and OpenStreetMap,-1
Worst animation,20
Worst buffer?,15
Worst city map,18
Worst classification scheme,16
Worst colors,29
Worst data,21
Worst decorations,22
Worst dynamic map,7
Worst elevation map,13
Worst extrusion,8
Worst flow map,17
"Worst font (this is easy, everybody just gets to use papyrus 🤪)",23
Worst hand-drawn map,25
Worst intention,8
Worst interactivity,2
Worst inventivity,6
Worst labels,11
Worst legend,5
Worst marine map,11
Worst material and tangibility,3
Worst message,3
Worst neat line,1
Worst projection,16
Worst readibility,10
Worst relief map,9
Worst resolution,12
Worst scale,11
Worst scale bar,9
Worst software,9
Worst statistical map,11
Worst storymap (a bit off topic),3
Worst symbols,13
Worst thematic map,15
Worst title,28
Worst topographic map,17
Worst tube(r) map? 🥔⭕️,10
Worst understandability,13
Worst use of rasters as polygon fill patterns.,21
Worst way to leave New Zealand off a map,17
Worst spelling errors! Worst kerning errors],12
